"product_name","product_url","product_brand","product_price_int","product_price_float","product_image"
"Small Square Polarized Sunglasses for Men and Women Polygon Mirrored Lens SJ1072","https://www.amazon.com/SOJOS-Polarized-Sunglasses-Polygon-Mirrored/dp/B078JCZ7MX/ref=sr_1_1?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-1","SOJOS","14.","83","https://m.media-amazon.com/images/I/71MUXeRWf2L._AC_UL320_.jpg"
"Unisex Polarized Aluminum Sunglasses Vintage Sun Glasses For Men/Women S8286","https://www.amazon.com/MERRYS-Polarized-Aluminum-Sunglasses-Vintage/dp/B01M311ACN/ref=sr_1_2?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-2","MERRY'S","12.","91","https://m.media-amazon.com/images/I/61ZhLl-4JPL._AC_UL320_.jpg"
"Polarized Sunglasses for Men and Women Semi-Rimless Frame Driving Sun glasses 100% UV Blocking","https://www.amazon.com/Kaliyadi-polarizados-manejar-semirretr%C3%A1ctil-bloqueo/dp/B07MW4R1X3/ref=sr_1_3?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-3","KALIYADI","15.","99","https://m.media-amazon.com/images/I/61KQXq71FJL._AC_UL320_.jpg"
"Classic Aviator Mirrored Flat Lens Sunglasses Metal Frame with Spring Hinges SJ1030","https://www.amazon.com/SOJOS-Classic-Aviator-Mirrored-Sunglasses/dp/B01HYRH8E2/ref=sr_1_4?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-4","SOJOS","14.","94","https://m.media-amazon.com/images/I/71zfBM5DVOL._AC_UL320_.jpg"
"Classic Round Retro Plastic Frame Vintage Inspired Sunglasses BLOSSOM SJ2067","https://www.amazon.com/SOJOS-Classic-redondas-pl%C3%A1stico-inspirado/dp/B07MFD8GQH/ref=sr_1_5?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-5","SOJOS","13.","85","https://m.media-amazon.com/images/I/61tTcVyQIeL._AC_UL320_.jpg"
"Polarized Sunglasses Classic Small Round Metal Frame for Women Men SJ1014","https://www.amazon.com/SOJOS-Polarized-Sunglasses-Mirrored-Glasses/dp/B01DWD0790/ref=sr_1_6?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-6","SOJOS","13.","99","https://m.media-amazon.com/images/I/71UsHwukgPL._AC_UL320_.jpg"
"Vintage Round Sunglasses for Women Classic Retro Designer Style","https://www.amazon.com/SUNGAIT-Vintage-Sunglasses-Designer-Gradient/dp/B06XP12K3Y/ref=sr_1_7?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-7","SUNGAIT","14.","99","https://m.media-amazon.com/images/I/610+Sk6oU2L._AC_UL320_.jpg"
"Classic Square Polarized Sunglasses Unisex UV400 Mirrored Glasses SJ2050","https://www.amazon.com/SOJOS-Polarized-Sunglasses-Mirrored-Tortoise/dp/B07S7J2H1Q/ref=sr_1_8?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-8","SOJOS","14.","67","https://m.media-amazon.com/images/I/611waEJuMwL._AC_UL320_.jpg"
"Women's J106 Metal Aviator Sunglasses with 100% UV Protection, 60 mm","https://www.amazon.com/Jessica-Simpson-Non-Polarized-Iridium-Sunglasses/dp/B078125FMX/ref=sr_1_9?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-9","Jessica Simpson","32.","42","https://m.media-amazon.com/images/I/61mKxJESsqL._AC_UL320_.jpg"
"Classic Aviator Sunglasses","https://www.amazon.com/Ray-Ban-RB3025-Aviator-Sunglasses-Black/dp/B000GLN15O/ref=sr_1_10?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-10","Ray-Ban","154.","00","https://m.media-amazon.com/images/I/61gxRz7XFuL._AC_UL320_.jpg"
"Fashion Round Sunglasses for Women Men Oversized Vintage Shades SJ2057","https://www.amazon.com/SOJOS-Sunglasses-Mirrored-SJ2057-Tortoise/dp/B07CGM6RG2/ref=sr_1_11?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-11","SOJOS","14.","98","https://m.media-amazon.com/images/I/61-NHOSpllL._AC_UL320_.jpg"
"Youth Windup Wrap Sunglasses","https://www.amazon.com/Under-Armour-Windup-Sunglasses-White/dp/B07J6TL7KV/ref=sr_1_12?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-12","Under Armour","53.","12","https://m.media-amazon.com/images/I/61vgg9t-X1L._AC_UL320_.jpg"
"Polarized 80's Retro Classic Trendy Stylish Sunglasses for Men Women","https://www.amazon.com/Polarspex-Polarized-Classic-Stylish-Sunglasses/dp/B01M0P6RXS/ref=sr_1_13?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-13","PolarSpex","14.","95","https://m.media-amazon.com/images/I/71LDhgGZ+sL._AC_UL320_.jpg"
"MLB Deluxe Flip-Up Sunglasses","https://www.amazon.com/Franklin-Sports-Deluxe-Flip-Up-Sunglasses/dp/B006A1W2O0/ref=sr_1_14?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-14","Franklin Sports","8.","86","https://m.media-amazon.com/images/I/71N+lLLVqYL._AC_UL320_.jpg"
"Sunglasses for Women Men Polarized uv Protection Wearpro Fashion Vintage Round Classic Retro Aviator Mirrored Sun glasses","https://www.amazon.com/Sunglasses-Polarized-Protection-Wearpro-Mirrored/dp/B07SV1SFXL/ref=sr_1_15?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-15","wearpro","11.","89","https://m.media-amazon.com/images/I/61-BUS91FyL._AC_UL320_.jpg"
"Igniter Sunglasses Oval","https://www.amazon.com/Under-Armour-Igniter-Polarized-Sunglasses/dp/B003JMFI8K/ref=sr_1_16?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-16","Under Armour","68.","99","https://m.media-amazon.com/images/I/71b9LMclrGL._AC_UL320_.jpg"
"Men's Oo9102 Holbrook Square Sunglasses","https://www.amazon.com/Oakley-Holbrook-Sunglasses-Matte-Black/dp/B003DQPBXE/ref=sr_1_17?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-17","Oakley","91.","50","https://m.media-amazon.com/images/I/51-6rkophUL._AC_UL320_.jpg"
"Polarized Sunglasses for Women Vintage Retro Round Mirrored Lens","https://www.amazon.com/WOWSUN-Polarized-Sunglasses-Gradient-Tortoise/dp/B07Q81QXLM/ref=sr_1_18?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-18","WOWSUN","19.","99","https://m.media-amazon.com/images/I/61mbDLPXW0L._AC_UL320_.jpg"
"Reflective Lens Round Trendy Sunglasses","https://www.amazon.com/WearMe-Pro-Reflective-Trendy-Sunglasses/dp/B072JHS9Q2/ref=sr_1_19?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-19","WearMe Pro","24.","00","https://m.media-amazon.com/images/I/81VKowiRCqL._AC_UL320_.jpg"
"Women's 0MK2024","https://www.amazon.com/Michael-Kors-Womens-0MK2024-Black/dp/B01HYW1U8M/ref=sr_1_20?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-20","Michael Kors","60.","45","https://m.media-amazon.com/images/I/61OqN77dyiL._AC_UL320_.jpg"
"Classic Retro Round Polarized Sunglasses UV400 Mirrored Lens SJ2069 ALL ME","https://www.amazon.com/SOJOS-Classic-Sunglasses-Mirrored-SJ2069/dp/B07P3ZTHCV/ref=sr_1_21?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-21","SOJOS","13.","79","https://m.media-amazon.com/images/I/613fgdJNZTL._AC_UL320_.jpg"
"Rb3016 Clubmaster Square Sunglasses","https://www.amazon.com/Ray-Ban-Clubmaster-Square-Sunglasses-Metallic/dp/B01N5MWPIG/ref=sr_1_22?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-22","Ray-Ban","105.","83","https://m.media-amazon.com/images/I/71iZDgKt2mL._AC_UL320_.jpg"
"Rb2132 New Wayfarer Sunglasses","https://www.amazon.com/Ray-Ban-Womens-Wayfarer-Sunglasses-Transparent/dp/B01ETAO9LM/ref=sr_1_23?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-23","Ray-Ban","144.","00","https://m.media-amazon.com/images/I/61zPHDvg8cL._AC_UL320_.jpg"
"Fashion Round Sunglasses for Women with Rivet Plastic Frame DOLPHIN SJ2068","https://www.amazon.com/SOJOS-Designer-Sunglasses-Oversized-Gradient/dp/B07NQ483FF/ref=sr_1_24?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-24","SOJOS","13.","86","https://m.media-amazon.com/images/I/61T5qcbwCvL._AC_UL320_.jpg"
"Fishing Polarized Full Frame Sunglasses with Scratch Resistance and UV Protection","https://www.amazon.com/HUK-Spearpoint-Sunglasses-Polycarbonate-Subphantis/dp/B07VHXYHX7/ref=sr_1_25?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-25","HUK","49.","99","https://m.media-amazon.com/images/I/614dUBuQj-L._AC_UL320_.jpg"
"Rb3447 Round Metal Sunglasses","https://www.amazon.com/Ray-Ban-Round-Metal-Arista-53/dp/B01LWDHNBG/ref=sr_1_26?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-26","Ray-Ban","154.","00","https://m.media-amazon.com/images/I/51sd4Vw8EYL._AC_UL320_.jpg"
"Small Retro Round Polarized Sunglasses UV400 Double Bridge Sunnies SUNSET SJ1104","https://www.amazon.com/SOJOS-Polarized-Sunglasses-Double-Mirrored/dp/B07M6WWLQC/ref=sr_1_27?dchild=1&keywords=sunglasses&qid=1596432632&s=apparel&sr=1-27","SOJOS","16.","96","https://m.media-amazon.com/images/I/61KjqVpzmbL._AC_UL320_.jpg"
