NAME,URL,IMAGE_URL,PRICE,BRAND,VENDOR
Ray-Ban RB3016 Clubmaster Square Sunglasses,https://www.walmart.com/ip/Ray-Ban-RB3016-Clubmaster-Square-Sunglasses/359116187,https://i5.walmartimages.com/asr/00f29b93-10fb-4945-b9b0-d34559c7b259_1.a08b909405a431386b48979695e3e3c7.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$154.00 ,Ray-Ban,Walmart
Polaroid Female Square Frame Style PLD6060S,https://www.walmart.com/ip/Polaroid-Female-Square-Frame-Style-PLD6060S/330700282,https://i5.walmartimages.com/asr/cfcc5eb5-34a5-4b89-b5b3-5585e19ae0f7.4fb9337d13f71bd955e9c447409718a0.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$45.99 ,Polaroid,Walmart
"ADIDAS ""EVOLVER"" AD4475 6500 Sunglasses",https://www.walmart.com/ip/ADIDAS-EVOLVER-AD4475-6500-Sunglasses/913545525,https://i5.walmartimages.com/asr/05966768-ae01-46b7-a95a-cfcd123a4cc2_1.1bab4f72890cb5664b6280d5ada99cbb.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$50.00 ,Adidas,Walmart
Foster Grant Women's Rose Gold Aviator Sunglasses K01,https://www.walmart.com/ip/Foster-Grant-Women-s-Rose-Gold-Aviator-Sunglasses-K01/693766928,https://i5.walmartimages.com/asr/4909bf4d-701b-4ffa-ab7d-8a4f226fe2d3_1.c959b9b7f7141d9c86dce1b7612d752b.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$8.77 ,Foster Grant,Walmart
Gucci Oversize Black Square Sunglasses,https://www.walmart.com/ip/Gucci-Oversize-Black-Square-Sunglasses/241844005,https://i5.walmartimages.com/asr/363aa3d1-68df-4a8d-b22c-5df1004f8da3_1.bc99cd53eed53decfe54575def26301b.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$312.00 ,Gucci,Walmart
"Jessica Simpson Women's Small Cat-Eye Sunglasses with Star Imprint Lens, Metal Signature Logo Tip & 100% UV Protection, 55 mm",https://www.walmart.com/ip/Jessica-Simpson-Women-s-Small-Cat-Eye-Sunglasses-with-Star-Imprint-Lens-Metal-Signature-Logo-Tip-100-UV-Protection-55-mm/978678149,https://i5.walmartimages.com/asr/e2622bdc-07a8-448a-b551-a44c1ed7eb65.d0187b51c2e766af29cbe6c498ea854d.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$38.00 ,Jessica Simpson,Walmart
"Jessica Simpson Women's Small Cat-Eye Sunglasses with Star Imprint Lens, Metal Signature Logo Tip & 100% UV Protection, 55 mm",https://www.walmart.com/ip/Jessica-Simpson-Women-s-Small-Cat-Eye-Sunglasses-with-Star-Imprint-Lens-Metal-Signature-Logo-Tip-100-UV-Protection-55-mm/191933037,https://i5.walmartimages.com/asr/cbf3a38f-cfe9-4088-b672-9bddd611ab4a.c3fde72218ea7c3a3c3233c64d349a63.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$38.00 ,Jessica Simpson,Walmart
Ray-Ban RB3025 Aviator Large Metal Sunglasses,https://www.walmart.com/ip/Ray-Ban-RB3025-Aviator-Large-Metal-Sunglasses/985469337,https://i5.walmartimages.com/asr/a5ec0e00-9598-486d-a1c0-5c37b80c5ec6_1.d1f02c1b947d0ea0261914732a2b2dd0.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$204.00 ,Ray-Ban,Walmart
Sofia Vergara® x Foster Grant® Izabella Gold,https://www.walmart.com/ip/Sofia-Vergara-x-Foster-Grant-Izabella-Gold/957855059,https://i5.walmartimages.com/asr/e9937658-e7af-4be2-9fc5-f7cb5410fb1d_1.787d979deaf291cacb5acebb558a3074.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$29.97 ,Sofia Vergara® x Foster Grant®,Walmart
"Jessica Simpson Women's Metal Cat-Eye Sunglasses with 100% UV Protection, 60 mm",https://www.walmart.com/ip/Jessica-Simpson-Women-s-Metal-Cat-Eye-Sunglasses-with-100-UV-Protection-60-mm/967150805,https://i5.walmartimages.com/asr/5f8d3b00-bf7a-4575-bb63-b013fadeaba8_1.dec91fb83ebddc4f8c0aaba8d27c5483.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$50.00 ,Jessica Simpson,Walmart
Foster Grant Women's Silver Shield Sunglasses H01,https://www.walmart.com/ip/Foster-Grant-Women-s-Silver-Shield-Sunglasses-H01/110907039,https://i5.walmartimages.com/asr/bae04005-a2c8-4646-a285-2f5c0f59a181_1.b10fb0f95d16f7b4e9ce7642ada8b512.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$8.77 ,Foster Grant,Walmart
Kenneth Cole Reaction Metal Frame Green Mirror Lens Ladies Sunglasses KC12576132Q,https://www.walmart.com/ip/Kenneth-Cole-Reaction-Metal-Frame-Green-Mirror-Lens-Ladies-Sunglasses-KC12576132Q/612861680,https://i5.walmartimages.com/asr/7a22f29a-e67d-4446-bae5-d88b9a2298ef_1.2d7c55df580020b39d90179023df3c87.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$24.99 ,Kenneth Cole,Walmart
Foster Grant Women's Brown Square Sunglasses H07,https://www.walmart.com/ip/Foster-Grant-Women-s-Brown-Square-Sunglasses-H07/632085304,https://i5.walmartimages.com/asr/6a2b6f81-44f4-4d0a-bf19-7b253349bb32_1.f591c5122ed438aa6922ab2bfe7c5cad.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$8.77 ,Foster Grant,Walmart
Foster Grant Women's Berry Rectangle Sunglasses K06,https://www.walmart.com/ip/Foster-Grant-Women-s-Berry-Rectangle-Sunglasses-K06/613531135,https://i5.walmartimages.com/asr/a4f8c32f-6aa2-4b0f-a6a0-2c513d357774_1.5ef32070c635e786b63916d64899a3b5.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$8.83 ,Foster Grant,Walmart
Kenneth Cole Reaction Plastic Frame Green Lens Men's Sunglasses KC1058000BR,https://www.walmart.com/ip/Kenneth-Cole-Reaction-Plastic-Frame-Green-Lens-Men-s-Sunglasses-KC1058000BR/39452302,https://i5.walmartimages.com/asr/91664aa2-87e7-409d-a6b8-84ec73181985_1.eaaabbae7bd3edc6b71390a04ea1173f.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$34.96 ,Kenneth Cole,Walmart
Foster Grant Women's Tort Rectangle Sunglasses K08,https://www.walmart.com/ip/Foster-Grant-Women-s-Tort-Rectangle-Sunglasses-K08/922050328,https://i5.walmartimages.com/asr/4a845981-cf2c-4135-852a-67f80e6fff63_1.7f32e98f42de1828990112dfedfde5b9.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$8.73 ,Foster Grant,Walmart
Ray-Ban RB2132 New Wayfarer Square Sunglasses,https://www.walmart.com/ip/Ray-Ban-RB2132-New-Wayfarer-Square-Sunglasses/602013427,https://i5.walmartimages.com/asr/91eea731-c952-4e13-a6a4-c2d47a8deda9_1.80d563643e3f443d782072b471689fe2.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$194.00 ,Ray-Ban,Walmart
IRONMAN Men's Gray Rectangle Sunglasses PP06,https://www.walmart.com/ip/IRONMAN-Men-s-Gray-Rectangle-Sunglasses-PP06/300208489,https://i5.walmartimages.com/asr/aefb5e54-191d-4aac-8c49-fd7e1586cfbd_1.5a364446655a14f0d894953556d13fe8.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$14.97 ,Ironman,Walmart
Salvatore Ferragamo Sunglasses SF600S 001 Black Oval 61x14x130,https://www.walmart.com/ip/Salvatore-Ferragamo-Sunglasses-SF600S-001-Black-Oval-61x14x130/210986333,https://i5.walmartimages.com/asr/789ca182-c179-49b1-9a3c-f224801bb78f_1.e512a8208125751c3c845502e47a8263.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$69.96 ,Salvatore Ferragamo,Walmart
Gucci GG0062S 003 Women's Aviator Sunglasses,https://www.walmart.com/ip/Gucci-GG0062S-003-Women-s-Aviator-Sunglasses/324767975,https://i5.walmartimages.com/asr/f0598742-aaca-4865-b169-f1bb19fdb6ea_1.d6c8decb34094dd2917a946bcfecff5c.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$450.00 ,Gucci,Walmart
Foster Grant Men's Black Mirrored Wrap Sunglasses JJ12,https://www.walmart.com/ip/Foster-Grant-Men-s-Black-Mirrored-Wrap-Sunglasses-JJ12/673815759,https://i5.walmartimages.com/asr/a4b0e86e-35c2-4f13-bf23-22d2198f6e31_1.03a7730edfca1ee0e8a5ed713edbc07d.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$9.97 ,Foster Grant,Walmart
Jimmy Choo JCAndie J7Q Women's Round Sunglasses,https://www.walmart.com/ip/Jimmy-Choo-JCAndie-J7Q-Women-s-Round-Sunglasses/188280856,https://i5.walmartimages.com/asr/9ba85fd6-98c2-498c-9bf4-2c2da7c25988_1.bca07243de8402096f4c966704e9c784.jpeg?odnHeight=376&odnWidth=282&odnBg=ffffff,$218.62 ,Jimmy Choo,Walmart
